# G-axis reserved-word delta vs default — generated from the admitted oracle (cobc (GnuCOBOL) 3.2.0)
dialect	reserved	intrinsics	system	only_in_dialect	only_in_default
default	995	116	65	0	0
cobol2014	485	88	65	17	527
cobol2002	477	78	65	10	528
cobol85	354	43	65	9	650
xopen	380	43	65	9	624
ibm-strict	478	74	65	45	562
ibm	1023	117	65	46	18
mvs-strict	411	46	65	36	620
mvs	1014	117	65	37	18
mf-strict	651	71	65	111	455
mf	1097	117	65	112	10
bs2000-strict	532	51	65	35	498
bs2000	1013	117	65	36	18
acu-strict	808	46	65	94	281
acu	1083	117	65	96	8
rm-strict	441	1	65	32	586
rm	1012	117	65	33	16
