surface	family	gnucobol_3_2	gnucobol_rs_status	drift	fixture_priority
occurs_depending	data_description	functional_with_logical_length_caveat	sealed_physical_max_only	physical_vs_logical_byte_domain	already_sealed
numeric_storage_binary	numeric_storage	runtime_functional	sealed	standard_behavior_differs_from_gnucobol	already_sealed
code_page_ebcdic	encoding	runtime_functional	sealed_cp500_decode	platform_dependent_feature	high
edited_pictures	data_description	runtime_functional	sealed_decode_16a	-	high
condition_names_false_clause	condition_names	runtime_functional	TRUE sealed; FALSE fails_closed	standard_before_gnucobol	medium
arithmetic_divide	arithmetic	runtime_functional	deferred	-	medium
json_xml_generate	json_xml	backend_dependent	out_of_model	backend_dependent_feature|gnucobol_extension_before_standard	none
indexed_file_backend	file_io	backend_dependent	out_of_model	backend_dependent_feature	none
screen_section	screen_terminal	backend_dependent	out_of_model	backend_dependent_feature|vendor_extension_only	none
report_writer	report_writer	parsed_functional (varies)	out_of_model	documented_before_functional	none
synchronized_alignment	data_description	platform_dependent	fails_closed	platform_dependent_feature	medium
comp_6	numeric_storage	runtime_functional (extension)	not_admitted	vendor_extension_only	low
