unit_index,kind,name,source_path,source_sha256,oracle_compile,oracle_run,oracle_exit,candidate_prepare,candidate_run,candidate_exit,raw_stdout,canonical_stdout,generated_files,exit_status,verdict_counts,final_classification,reason_code,nondeterministic,first_failure_line
0,"COBOL","EXEC85","EXEC85.cob",14d36d21a8e16995057cc1238c3f84d07e7ecf9c00de76bc84231ebcdb35102a,"pass","harness-blocked",,"reject-unsupported","not-run",2,"","","","","",HARNESS_BLOCKED,"EXEC85_DRIVER_REQUIRES_MODULE_LIBRARY",no,""
1,"CLBRY","ALTL1","copybooks/ALTL1.cpy",60665540f71e1ceaa89544115b5650239dc544d9e92855d8a8a38fe2cd1c93de,"","",,"","",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"LIBRARY_TEXT_UNIT",no,""
2,"CLBRY","ALTLB","copybooks/ALTLB.cpy",c2acd7fd4d85395820db92c333047f2f39b1f79f4494a2e22b01b958ec8a9c16,"","",,"","",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"LIBRARY_TEXT_UNIT",no,""
3,"COBOL","CM101M","CM101M.cob",3dae5b10685c7d3c018ce3d7931ef31f18a5d21e3b0a4f80d3d18f484d7e5fa2,"reject","not-applicable",,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",ORACLE_COMPILE_REJECT,"WORK_RUN_MATERIALIZED_ADAPTED_CM101M_COB_231_ERROR",no,"WORK_RUN_MATERIALIZED_ADAPTED_CM101M_COB_231_ERROR"
4,"COBOL","CM102M","CM102M.cob",3fa7e4d5d355f3bb9f96b210f3b6560e461eaf0a0f3dd850a975571dc05bc375,"reject","not-applicable",,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",ORACLE_COMPILE_REJECT,"WORK_RUN_MATERIALIZED_ADAPTED_CM102M_COB_279_ERROR",no,"WORK_RUN_MATERIALIZED_ADAPTED_CM102M_COB_279_ERROR"
5,"COBOL","CM103M","CM103M.cob",6675b18e9b133d1edfce4d05fa5bc1ed9276a8f02b86523f25fbef928d3b5f89,"reject","not-applicable",,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",ORACLE_COMPILE_REJECT,"WORK_RUN_MATERIALIZED_ADAPTED_CM103M_COB_182_ERROR",no,"WORK_RUN_MATERIALIZED_ADAPTED_CM103M_COB_182_ERROR"
6,"COBOL","CM104M","CM104M.cob",48f97619cc3e14d2df1c45f46a936b221806179717e8187979b1d4704c500ee2,"error","not-applicable",,"reject-unsupported","not-run",2,"","","","","",ORACLE_COMPILE_ERROR,"COBC_CRASHED",no,""
7,"COBOL","CM105M","CM105M.cob",9bee3ab0c2988e6c50d5522ad38f68520109f19461dba86b5f85c01ec8497a9e,"reject","not-applicable",,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",ORACLE_COMPILE_REJECT,"WORK_RUN_MATERIALIZED_ADAPTED_CM105M_COB_176_ERROR",no,"WORK_RUN_MATERIALIZED_ADAPTED_CM105M_COB_176_ERROR"
8,"COBOL","CM201M","CM201M.cob",f39c16224ee53ab92e0ebee7b541544dc0e3b2b659dc5c9aaa6b9726e84fd463,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_UNSUPPORTED_LEVEL_NUMBER_COMMUNICATION",no,"cobrun: unsupported: unsupported level number COMMUNICATION"
9,"COBOL","CM202M","CM202M.cob",d36ec319af1d20c0fc124b9d13e3a4f0543aa8b5d79267f696b243e2353f7730,"error","not-applicable",,"reject-unsupported","not-run",2,"","","","","",ORACLE_COMPILE_ERROR,"COBC_CRASHED",no,""
10,"COBOL","CM303M","CM303M.cob",53bdcff696a7a568eee5cf26e661ce507527a86da1514b7c5cfddacb999665c3,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_DISABLE_GNUCOBOL_DOES_NOT_IMPLEMENT_THE",no,"cobrun: unsupported: DISABLE: GnuCOBOL 3.2 does not implement the COMMUNICATION SECTION -- the oracle itself cannot run it (boundary non-claim)"
11,"COBOL","CM401M","CM401M.cob",8224013f08200729f2fad707b3a40332d22d6dcd6ab4521fca9dfd66ab7d201b,"reject","not-applicable",,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",ORACLE_COMPILE_REJECT,"WORK_RUN_MATERIALIZED_ADAPTED_CM401M_COB_ERROR_NOT",no,"WORK_RUN_MATERIALIZED_ADAPTED_CM401M_COB_ERROR_NOT"
12,"COBOL","DB101A","DB101A.cob",a29ecf5add7825e91abc0f0eb331726e04ab74bbb9ab2a084b73b6282c2a2291,"pass","pass",0,"accepted","pass",0,"mismatch","mismatch","match","match","match",OUTPUT_MISMATCH,"OUTPUT_BYTES_DIFFER",no,""
13,"COBOL","DB102A","DB102A.cob",6beb25eecbb0d484572d1ce0d563f67bb506a0d17cb96dd20024bbd05fa60008,"pass","pass",0,"accepted","pass",0,"mismatch","mismatch","match","match","match",OUTPUT_MISMATCH,"OUTPUT_BYTES_DIFFER",no,""
14,"COBOL","DB103M","DB103M.cob",3a1b642a30bb7f3d6e6ebd47ec9265d953f2a81cdd87377b0dcd1f388fb1c6e3,"pass","pass",0,"accepted","pass",0,"match","match","match","match","match",RAW_OUTPUT_MATCH,"RAW_OUTPUT_IDENTICAL",no,""
15,"COBOL","DB104A","DB104A.cob",66cdcfc64fd92442ea2dcc9ea2b8ab07d325080fd99d9c5ab9e3f8a117a96c86,"pass","pass",0,"reject-parse","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_PARSE,"COBRUN_UNDEFINED_DATA_NAME_XRECORD_NUMBER",no,"cobrun: undefined data name: XRECORD-NUMBER(1)"
16,"COBOL","DB105A","DB105A.cob",4632473eda5b6f09d12b87a8a86366a7258a9ecc3c361019d0e06fd82d205bca,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_UNSUPPORTED_LEVEL_NUMBER_FEATURE",no,"cobrun: unsupported: unsupported level number FEATURE"
17,"COBOL","DB201A","DB201A.cob",424358c30ea1eb5a254bbc93cb306217a411fad0e3c33cd1433dbe3d1a6243d8,"pass","pass",0,"reject-runtime-boundary","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_RUNTIME_BOUNDARY,"COBRUN_RUNTIME_ERROR_PERFORM_VARYING_EXCEEDED_1E6_ITERATIONS",no,"cobrun: runtime error: PERFORM VARYING exceeded 1e6 iterations"
18,"COBOL","DB202A","DB202A.cob",49ae2e1e57865f02dd4f8201f9c2e4dbd556b1e57d005d0004d4412e042b5dfc,"pass","pass",0,"reject-parse","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_PARSE,"COBRUN_UNDEFINED_DATA_NAME_XRECORD_NUMBER",no,"cobrun: undefined data name: XRECORD-NUMBER(1)"
19,"COBOL","DB203A","DB203A.cob",95ba34b66cd66cfdbdf49e6c4ba740cf36e43f5d4260fb4245bb52224e8de6dd,"pass","pass",0,"reject-parse","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_PARSE,"COBRUN_UNDEFINED_DATA_NAME_BORTED",no,"cobrun: undefined data name: BORTED"
20,"COBOL","DB204A","DB204A.cob",25dd38db20401a2b8627b449b80666cab034f8a971fcfbbe196fa7a62cacc8f3,"pass","pass",0,"reject-parse","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_PARSE,"COBRUN_UNDEFINED_DATA_NAME_XRECORD_NUMBER",no,"cobrun: undefined data name: XRECORD-NUMBER(1)"
21,"COBOL","DB205A","DB205A.cob",f28a5d9af86e84efbd153070248f94a1589bf513f1609b98f7143cdd46e7c796,"pass","timeout",124,"reject-unsupported","not-run",2,"","","","","",ORACLE_TIMEOUT,"ORACLE_RUN_TIMEOUT",no,""
22,"COBOL","DB301M","DB301M.cob",b493beee4e0b0e690579aad1fe17c468b9fd9a989e5cf9618d2110f3a6238bec,"pass","pass",0,"accepted","pass",0,"match","match","match","match","not_comparable",RAW_OUTPUT_MATCH,"RAW_OUTPUT_IDENTICAL",no,""
23,"COBOL","DB302M","DB302M.cob",56823f1584e5f562ff5de6649cbfedc51fceb82ab5b3c270f13a16ee5006a08e,"pass","pass",0,"accepted","pass",0,"match","match","match","match","not_comparable",RAW_OUTPUT_MATCH,"RAW_OUTPUT_IDENTICAL",no,""
24,"COBOL","DB303M","DB303M.cob",74d53d3a08c9cd697947cd898d6b457d3233b5263595c4769f173757e00f1e64,"pass","pass",0,"accepted","pass",0,"match","match","match","match","not_comparable",RAW_OUTPUT_MATCH,"RAW_OUTPUT_IDENTICAL",no,""
25,"COBOL","DB304M","DB304M.cob",cdbaabe0df4ba5e21ec2d360a9272c05f8b6565e38374f895fb415ff9b81aa15,"pass","pass",0,"accepted","pass",0,"match","match","match","match","not_comparable",RAW_OUTPUT_MATCH,"RAW_OUTPUT_IDENTICAL",no,""
26,"COBOL","DB305M","DB305M.cob",ff240647eeff238499ebffb315e817962e848772a1177bac1b5fc6ff33d45fd6,"pass","pass",0,"accepted","pass",0,"match","match","match","match","not_comparable",RAW_OUTPUT_MATCH,"RAW_OUTPUT_IDENTICAL",no,""
27,"COBOL","IC101A","IC101A.cob",8c00cfb10b8a1c9037e2433cc1d55e74b3967ba9a6bdefa18698c8ade57a35a6,"pass","pass",0,"accepted","pass",0,"match","match","match","match","match",RAW_OUTPUT_MATCH,"RAW_OUTPUT_IDENTICAL",no,""
28,"COBOL","IC102A","IC102A.cob",6a686535ee863d4775f5fc545325566e2fac651f23fc1a8b37dc2b7150a1bfa4,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
29,"COBOL","IC103A","IC103A.cob",39f8d1776d57a27de2a46a3b2676796ccd6bfcf6c79b9a7db079aae6cb14e221,"pass","pass",0,"reject-parse","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_PARSE,"COBRUN_UNDEFINED_DATA_NAME_FIELD",no,"cobrun: undefined data name: AN-FIELD"
30,"COBOL","IC104A","IC104A.cob",eb8b6dddbc7225a36c9aa6f3ca103dcb021cf1234588e26d3d2c11f07bc945b4,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
31,"COBOL","IC105A","IC105A.cob",9b71ce0d551419b89f0f6c04960cac8d5a1ce591ab5205215d9558005186d74d,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
32,"COBOL","IC106A","IC106A.cob",8671b410fb6e5c8397717fab187019db91e0f0441b870050855aca678873e794,"pass","pass",0,"reject-parse","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_PARSE,"COBRUN_UNDEFINED_DATA_NAME_IN3",no,"cobrun: undefined data name: IN3"
