source_file,group_index,step_index,source_line,command,expected_status,shape,stdout_sha256,stderr_sha256,disposition,reason
configuration.at,0,0,36,"$COMPILE_ONLY prog.cob",0,Compiler,,45a8cdf23ee36911c16556b9d2ce659b86cc04fb17236955044771f2d4c040ea,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,1,0,56,"$COMPILE_ONLY -std=default prog.cob",0,Compiler,,45a8cdf23ee36911c16556b9d2ce659b86cc04fb17236955044771f2d4c040ea,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,1,1,59,"$COMPILE_ONLY -std=cobol85 prog.cob",0,Compiler,,60b3f43af72b13b0f965bdac85218b2e5203b3fea28e9286a8a08c02e679e6c3,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,1,2,62,"$COMPILE_ONLY -std=cobol2002 prog.cob",1,Compiler,,2bce2daf8f6d59baf5ba2212f45c71a43e46e206bc003f21fa6045eea99314d2,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,1,3,65,"$COMPILE_ONLY -std=cobol2014 prog.cob",1,Compiler,,571cfe534a3afe7488b5928da7d35ac1770e21235c4eb0bad0cca83ce4b35c89,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,1,4,68,"$COMPILE_ONLY -std=xopen prog.cob",0,Compiler,,84fba6878d0283497ed5d0c71f836d979c053522dab6e791f31f4597cb3f1b3a,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,1,5,71,"$COMPILE_ONLY -std=acu-strict prog.cob",0,Compiler,,f5df1eee1cab1ce33a72fea2b6cbfe52957bdc567d536701d322688b2c2b580f,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,1,6,74,"$COMPILE_ONLY -std=bs2000-strict prog.cob",1,Compiler,,e3529406be5885cef1f8a1bebaa1564f68b603dc97699066dcc4456fa2acbfd3,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,1,7,77,"$COMPILE_ONLY -std=ibm-strict prog.cob",0,Compiler,,cf7a216b7ae304dd568f942c8958e19d8c239347c577ec93a163bc272ab3f0d6,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,1,8,80,"$COMPILE_ONLY -std=mf-strict prog.cob",0,Compiler,,378d673af79a7c48dc164bf1ae86283fc59e858be9295cde228f414b712e1d94,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,1,9,83,"$COMPILE_ONLY -std=rm-strict prog.cob",0,Compiler,,9acce006293b921744935d2e5c4943b17b3e48ffe28b32c276475c3188974f01,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,1,10,86,"$COMPILE_ONLY -std=realia-strict prog.cob",0,Compiler,,,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,1,11,87,"$COMPILE_ONLY -std=mvs-strict prog.cob",0,Compiler,,28f748b78d4e32aed63ab13ac65ea5c74f432063ae8ea1afd741a02878607c09,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,1,12,90,"$COMPILE_ONLY -std=gcos-strict prog.cob",0,Compiler,,78fa524cd77256689fcf7db514b698f62e65c3a426c093809c1b7e25ac6236a6,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,1,13,93,"$COMPILE_ONLY -std=acu prog.cob",0,Compiler,,,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,1,14,94,"$COMPILE_ONLY -std=bs2000 prog.cob",0,Compiler,,,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,1,15,95,"$COMPILE_ONLY -std=ibm prog.cob",0,Compiler,,,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,1,16,96,"$COMPILE_ONLY -std=mf prog.cob",0,Compiler,,,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,1,17,97,"$COMPILE_ONLY -std=rm prog.cob",0,Compiler,,,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,1,18,98,"$COMPILE_ONLY -std=realia prog.cob",0,Compiler,,,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,1,19,99,"$COMPILE_ONLY -std=mvs prog.cob",0,Compiler,,,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,1,20,100,"$COMPILE_ONLY -std=gcos prog.cob",0,Compiler,,,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,2,0,119,"$COMPILE_ONLY -std=cobol2014 prog.cob",1,Compiler,,571cfe534a3afe7488b5928da7d35ac1770e21235c4eb0bad0cca83ce4b35c89,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,3,0,140,"$COMPILE_ONLY -conf=cobol2014.conf prog.cob",1,Compiler,,571cfe534a3afe7488b5928da7d35ac1770e21235c4eb0bad0cca83ce4b35c89,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,4,0,167,"$COMPILE_ONLY -conf=test.conf prog.cob",0,Compiler,,,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,4,1,170,"$COMPILE_ONLY \\\n-conf=\"$(_return_path \"$(pwd)/test.conf\")\" prog.cob",0,Compiler,,,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,5,0,203,"$COMPILE_ONLY -conf=test.conf prog.cob",1,Compiler,,8de04be4d8c02c4b94a7f8b71e93c6e12eae42e6dbd3c3cf05b2e3d8b58f56e1,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,6,0,234,"$COMPILE_ONLY -std=default -conf=test.conf prog.cob",0,Compiler,,35c7e9824aed0847a6cafaae35a906ada3f19f67f8c023456398aef5f343f37c,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,7,0,254,"$COMPILE_ONLY -fcomment-paragraphs=ok prog.cob",0,Compiler,,,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,8,0,280,"$COMPILE_ONLY \\\n-fcomment-paragraphs=ok prog.cob",0,Compiler,,,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,8,1,284,"$COMPILE_ONLY \\\n-fcomment-paragraphs=ok -conf=test.conf prog.cob",0,Compiler,,,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,8,2,286,"$COMPILE_ONLY \\\n-conf=test.conf -fcomment-paragraphs=ok prog.cob",0,Compiler,,,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,9,0,306,"$COMPILE_ONLY -q \\\n-fcomment-paragraphsok prog.cob",1,Compiler,,0ba5ac64698527ba9732ea24527f718673a118db732c3da165f6dfca00dfae86,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,9,1,310,"$COMPILE_ONLY \\\n-fassign-clause=cobol-2002 prog.cob",1,Compiler,,f92ad3d8890d849d8291e108e65b59d0d86a4702a625bd2063a40cc9867c12d7,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,9,2,316,"$COMPILE_ONLY \\\n-freserved-words=default prog.cob",0,Compiler,,,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,9,3,318,"$COMPILE_ONLY \\\n-freserved-words=defaults prog.cob",1,Compiler,,c30bab14f9b5ebd42076d1fe88473865c089de234201f3b62a8597ea5ba65375,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,9,4,324,"$COMPILE_ONLY \\\n-fword-length=thirty prog.cob",1,Compiler,,955bcce49a0af0478d7002550d529d3bffc923490ce379b8f5bd8a2ffffef0bf,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,9,5,330,"$COMPILE_ONLY \\\n-fstandard-define=99 prog.cob",1,Compiler,,69b4969fc3f401dd9c696a1e59844b35394504575b626867bd5062b0552f1cae,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,10,0,351,"$COMPILE_ONLY -conf=notthere.conf prog.cob",1,Compiler,,eca9bb0605317ab6029f9f678e569fa4bbf976059ef8215f5ae84884e1ffb845,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,10,1,355,"$COMPILE_ONLY -conf=defunc.conf prog.cob",1,Compiler,,12f8e39b72e8695cd39ca05ec5a323f19d379785689e53674ba5fbd6568b9429,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,10,2,360,"$COMPILE_ONLY -conf=defunc2.conf prog.cob",1,Compiler,,4380a6d0c57c043b484acd65b6eef6a5ee1e81fb7875b25aba6dda98697fda59,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,11,0,396,"$COMPILE_ONLY -conf=defunc.conf prog.cob",0,Compiler,,45a8cdf23ee36911c16556b9d2ce659b86cc04fb17236955044771f2d4c040ea,IgnoreCompilerStderr,compiler step; stderr expectation is purely compiler diagnostic text
configuration.at,11,1,399,"$COMPILE_ONLY -conf=test.conf prog.cob",0,Compiler,,,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,12,0,412,"$COMPILE_ONLY -conf=test.conf prog.cob",1,Compiler,,0c44bbba9da4b6cf1f0a7ed63414ea353e94088af974bd964990a6974387bdf5,Preserve,expected stream(s) not proven purely compiler diagnostic
configuration.at,13,0,551,"$COBCRUN --runtime-conf",0,Runtime,5f0af516936c6ab13dfce52362f84a3c0aa8d87aca8f2bcaf55ad4e1e0178034,,Preserve,not a compiler step (shape Runtime)
configuration.at,13,1,556,"$COBCRUN --runtime-conf | tr -d '\\n ' | \\\n$GREP \"runtime_empty.cfg\"",0,ShellHelper,5f0af516936c6ab13dfce52362f84a3c0aa8d87aca8f2bcaf55ad4e1e0178034,,Preserve,not a compiler step (shape ShellHelper)
configuration.at,13,2,558,"COB_RUNTIME_CONFIG=\"\" $COBCRUN --runtime-conf | tr -d '\\n ' \\\n| $GREP \"runtime.cfg\"",0,ShellHelper,5f0af516936c6ab13dfce52362f84a3c0aa8d87aca8f2bcaf55ad4e1e0178034,,Preserve,not a compiler step (shape ShellHelper)
configuration.at,14,0,582,"$COBCRUN --runtime-conf | \\\n$GREP \"COB_PHYSICAL_CANCEL\" | $GREP \"no\" | $GREP \"default\"",0,ShellHelper,5f0af516936c6ab13dfce52362f84a3c0aa8d87aca8f2bcaf55ad4e1e0178034,,Preserve,not a compiler step (shape ShellHelper)
configuration.at,14,1,586,"$COBCRUN -c test2.cfg --runtime-conf | \\\n$GREP \"physical_cancel\" | $GREP \"yes\"",0,ShellHelper,5f0af516936c6ab13dfce52362f84a3c0aa8d87aca8f2bcaf55ad4e1e0178034,,Preserve,not a compiler step (shape ShellHelper)
configuration.at,14,2,588,"$COBCRUN -c test.cfg --runtime-conf | \\\n$GREP \"physical_cancel\" | $GREP \"yes\"",0,ShellHelper,5f0af516936c6ab13dfce52362f84a3c0aa8d87aca8f2bcaf55ad4e1e0178034,,Preserve,not a compiler step (shape ShellHelper)
configuration.at,14,3,590,"$COBCRUN -c test3.cfg --runtime-conf | \\\n$GREP \"COB_PHYSICAL_CANCEL\" | $GREP \"yes\"",0,ShellHelper,5f0af516936c6ab13dfce52362f84a3c0aa8d87aca8f2bcaf55ad4e1e0178034,,Preserve,not a compiler step (shape ShellHelper)
configuration.at,14,4,594,"$COBCRUN --config=test3.cfg --runtime-conf | \\\n$GREP \"COB_PHYSICAL_CANCEL\" | $GREP \"yes\"",0,ShellHelper,5f0af516936c6ab13dfce52362f84a3c0aa8d87aca8f2bcaf55ad4e1e0178034,,Preserve,not a compiler step (shape ShellHelper)
configuration.at,14,5,598,"COB_RUNTIME_CONFIG=test3.cfg $COBCRUN --runtime-conf | \\\n$GREP \"COB_PHYSICAL_CANCEL\" | $GREP \"yes\"",0,ShellHelper,5f0af516936c6ab13dfce52362f84a3c0aa8d87aca8f2bcaf55ad4e1e0178034,,Preserve,not a compiler step (shape ShellHelper)
configuration.at,14,6,602,"$COBCRUN -c \"$(_return_path \"$(pwd)/test.cfg\")\" --runtime-conf",0,Runtime,5f0af516936c6ab13dfce52362f84a3c0aa8d87aca8f2bcaf55ad4e1e0178034,,Preserve,not a compiler step (shape Runtime)
configuration.at,15,0,626,"$COBCRUN -c test.cfg -r",1,Runtime,,50c4483f5b59c4715a0d377dfa99bd63dc5ccd4d4b827862b317f0bab83aefcc,Preserve,not a compiler step (shape Runtime)
configuration.at,16,0,644,"COB_PHYSICAL_CANCEL=false $COBCRUN -c test.cfg --runtime-conf | \\\n$GREP \"COB_PHYSICAL_CANCEL\" | $GREP \"no\"",0,ShellHelper,5f0af516936c6ab13dfce52362f84a3c0aa8d87aca8f2bcaf55ad4e1e0178034,,Preserve,not a compiler step (shape ShellHelper)
configuration.at,17,0,653,"echo \"$PATHSEP\"",0,ShellHelper,d8a957038679125d4840554fc43375697e662283121561afdefc2c3fbecaf729,,Preserve,not a compiler step (shape ShellHelper)
configuration.at,18,0,742,"$COBCRUN -c notthere.cfg --runtime-conf",1,Runtime,,a82ffdf82cb3a6ce86eb343fd8d98b7e44ca484b6f8fd6fbc3ae2d7cdf15fa85,Preserve,not a compiler step (shape Runtime)
configuration.at,18,1,746,"$COBCRUN -c defunc.cfg --runtime-conf",1,Runtime,,2b78bc968e594e6ab5cd56fe46adb89fd4d70bc04d1e5be73c02b8c5ecd699c7,Preserve,not a compiler step (shape Runtime)
configuration.at,18,2,752,"$COBCRUN -c defunc2.cfg --runtime-conf",1,Runtime,,3b0f53951f2508c06d8a12a9478fa8de1310e752f8715f5e708de84dab8ccff4,Preserve,not a compiler step (shape Runtime)
