test_id,number,title,group,pattern,failing_command,classification,reason
0001,1,used_binaries.at:27: 1. compiler help and information,used_binaries.at:27,other,$COBC --list-reserved,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COBC --list-reserved
0004,4,(no status line in group log),,other,$COBC -I sub/copy prog.c -o prog.$COB_OBJECT_EXT,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COBC -I sub/copy prog.c -o prog.$COB_OBJECT_EXT
0010,10,used_binaries.at:427: 10. C Compiler optimizations,used_binaries.at:427,other,$COBCRUN -M sub/ prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN -M sub/ prog
0013,13,used_binaries.at:500: 13. cobcrun validation,used_binaries.at:500,cobc -m module build,$COMPILE_MODULE callee.cob,CANDIDATE_CHECK_REJECT,candidate compile-phase failure: $COMPILE_MODULE callee.cob
0014,14,used_binaries.at:540: 14. cobcrun -M DSO entry argument,used_binaries.at:540,other,"$COBCRUN -M """" nope",CANDIDATE_MODULE_MODEL_UNSUPPORTED,"module build/run not supported by the candidate model: $COBCRUN -M """" nope"
0015,15,used_binaries.at:626: 15. cobcrun -M directory/ default,used_binaries.at:626,cobc -m module build,$COMPILE_MODULE callee.cob,CANDIDATE_CHECK_REJECT,candidate compile-phase failure: $COMPILE_MODULE callee.cob
0016,16,used_binaries.at:665: 16. cobcrun -M directory/dso alternate,used_binaries.at:665,cobc -m module build,$COMPILE_MODULE callee.cob,CANDIDATE_CHECK_REJECT,candidate compile-phase failure: $COMPILE_MODULE callee.cob
0017,17,used_binaries.at:716: 17. cobcrun -M DSO entry multiple arguments,used_binaries.at:716,other,$COBC -b ${FLAGS} mainer.cob called.cob,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COBC -b ${FLAGS} mainer.cob called.cob
0018,18,used_binaries.at:762: 18. cobcrun error messages,used_binaries.at:762,other,$COBCRUN -q,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN -q
0039,39,configuration.at:546: 39. runtime configuration,configuration.at:546,cobcrun runtime-config,$COBCRUN --runtime-conf | tr -d '\n ' | \,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN --runtime-conf | tr -d '\n ' | \
0040,40,configuration.at:565: 40. runtime configuration file,configuration.at:565,cobcrun runtime-config,$COBCRUN -c test2.cfg --runtime-conf | \,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN -c test2.cfg --runtime-conf | \
0041,41,configuration.at:608: 41. runtime configuration: recursive include,configuration.at:608,cobcrun runtime-config,$COBCRUN -c test.cfg -r,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN -c test.cfg -r
0043,43,configuration.at:650: 43. runtime configuration: entries,configuration.at:650,cobcrun runtime-config,"echo ""$PATHSEP""",CANDIDATE_UNSUPPORTED,"candidate failed at an unclassified boundary: echo ""$PATHSEP"""
0044,44,configuration.at:731: 44. runtime configuration: conf missing,configuration.at:731,cobcrun runtime-config,$COBCRUN -c notthere.cfg --runtime-conf,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN -c notthere.cfg --runtime-conf
0046,46,configuration.at:773: 46. runtime configuration: strings and environment,configuration.at:773,cobcrun runtime-config,unset greet name ; \,CANDIDATE_UNSUPPORTED,candidate failed at an unclassified boundary: unset greet name ; \
0286,286,syn_misc.at:1947: 286. line and floating comments,syn_misc.at:1947,other,$COMPILE_ONLY prog2.cob,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog2.cob
0511,511,run_fundamental.at:25: 511. DISPLAY literals,run_fundamental.at:25,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0512,512,"run_fundamental.at:72: 512. DISPLAY literals, DECIMAL-POINT is COMMA",run_fundamental.at:72,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0516,516,run_fundamental.at:247: 516. MOVE to edited item (1),run_fundamental.at:247,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0517,517,run_fundamental.at:296: 517. MOVE to edited item (2),run_fundamental.at:296,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0518,518,run_fundamental.at:345: 518. MOVE to edited item (3),run_fundamental.at:345,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0519,519,run_fundamental.at:450: 519. MOVE to item with simple and floating insertion,run_fundamental.at:450,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0520,520,run_fundamental.at:485: 520. MOVE to JUSTIFIED item,run_fundamental.at:485,other,,CANDIDATE_UNSUPPORTED,candidate failed at an unclassified boundary: 
0522,522,run_fundamental.at:567: 522. Compare FLOAT-LONG with floating-point literal,run_fundamental.at:567,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0523,523,run_fundamental.at:620: 523. equality of FLOAT-SHORT / FLOAT-LONG,run_fundamental.at:620,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0524,524,run_fundamental.at:743: 524. equality of FLOAT-SHORT / FLOAT-EXTENDED,run_fundamental.at:743,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0527,527,run_fundamental.at:1039: 527. ALPHABETIC test,run_fundamental.at:1039,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0528,528,run_fundamental.at:1071: 528. ALPHABETIC-UPPER test,run_fundamental.at:1071,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0529,529,run_fundamental.at:1103: 529. ALPHABETIC-LOWER test,run_fundamental.at:1103,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0530,530,run_fundamental.at:1135: 530. GLOBAL at same level,run_fundamental.at:1135,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0531,531,run_fundamental.at:1184: 531. GLOBAL at lower level,run_fundamental.at:1184,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0532,532,run_fundamental.at:1233: 532. GLOBAL CONSTANT,run_fundamental.at:1233,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0533,533,run_fundamental.at:1317: 533. GLOBAL identifiers from ENVIRONMENT DIVISION,run_fundamental.at:1317,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0538,538,run_fundamental.at:1570: 538. Contained program visibility (1),run_fundamental.at:1570,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0539,539,run_fundamental.at:1625: 539. Contained program visibility (2),run_fundamental.at:1625,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0540,540,run_fundamental.at:1678: 540. Contained program visibility (3),run_fundamental.at:1678,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0541,541,run_fundamental.at:1729: 541. Contained program visibility (4),run_fundamental.at:1729,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0543,543,run_fundamental.at:1872: 543. CALL program-pointer,run_fundamental.at:1872,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0544,544,run_fundamental.at:1968: 544. CALL/CANCEL/SET ADDRESS program-prototype-name,run_fundamental.at:1968,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0547,547,run_fundamental.at:2175: 547. GLOBAL FD (3),run_fundamental.at:2175,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0548,548,run_fundamental.at:2225: 548. GLOBAL FD (4),run_fundamental.at:2225,COBCRUN_DIRECT ./prog (launcher run),COB_DISABLE_WARNINGS=1 $COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: COB_DISABLE_WARNINGS=1 $COBCRUN_DIRECT ./prog
0549,549,run_fundamental.at:2277: 549. CANCEL test (1),run_fundamental.at:2277,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0554,554,run_fundamental.at:2436: 554. Context sensitive words (1),run_fundamental.at:2436,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0555,555,run_fundamental.at:2459: 555. Context sensitive words (2),run_fundamental.at:2459,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0556,556,run_fundamental.at:2483: 556. Context sensitive words (3),run_fundamental.at:2483,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0560,560,run_fundamental.at:2577: 560. Context sensitive words (7),run_fundamental.at:2577,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
