diagnostic,phase,count,example_test_id
,checker,232,0002
cannot read prog.cob: No such file or directory (os error 2),checker,3,0007
cobc-rs: -fformat=unknown: only fixed/free/auto are supported by the candidate (fail closed),checker,1,0048
cobc-rs: COPY expansion failed (fail closed): copybook 'A' not found,checker,1,0308
cobc-rs: COPY expansion failed (fail closed): copybook 'COPY1' not found,checker,1,0055
cobc-rs: unsupported: 66 level without RENAMES,checker,1,0159
cobc-rs: unsupported: INSPECT REPLACING operands incompatible (operands differ in size),checker,1,0324
cobc-rs: unsupported: OCCURS count UNBOUNDED is not an integer,data-layout,1,0148
cobc-rs: unsupported: PERFORM VARYING: expected BY,checker,1,0729
cobc-rs: unsupported: PIC 0N: UnsupportedSymbol('N'),data-layout,1,0410
cobc-rs: unsupported: PIC 9(FOO-BAR)9(FOO-BAR): BadRepeat,data-layout,1,0812
cobc-rs: unsupported: PIC BX: UnsupportedSymbol('X'),data-layout,6,0403
cobc-rs: unsupported: PIC BXX: UnsupportedSymbol('X'),data-layout,1,0184
cobc-rs: unsupported: PIC N(4): UnsupportedSymbol('N'),data-layout,1,0112
cobc-rs: unsupported: PIC N: UnsupportedSymbol('N'),data-layout,2,0409
cobc-rs: unsupported: PIC NNN: UnsupportedSymbol('N'),data-layout,1,0182
cobc-rs: unsupported: PIC VPP99: ScalingPDeferred,data-layout,2,0319
cobc-rs: unsupported: PIC X(9999999999): BadRepeat,data-layout,1,0267
cobc-rs: unsupported: PIC X(CONST1): BadRepeat,data-layout,1,0345
cobc-rs: unsupported: PIC X(VAR-LEN): BadRepeat,data-layout,1,0245
cobc-rs: unsupported: PROG-3: no PROCEDURE DIVISION,checker,1,0119
cobc-rs: unsupported: PROG: no PROCEDURE DIVISION,checker,1,0098
cobc-rs: unsupported: SORT: `TBL` is not a declared file,semantic-check,1,0367
cobc-rs: unsupported: expected data name after a level number,checker,1,0260
cobc-rs: unsupported: no PROCEDURE DIVISION,checker,63,0073
cobc-rs: unsupported: no PROGRAM-ID,checker,4,0096
cobc-rs: unsupported: not a numeric literal: ARE,grammar,1,0173
cobc-rs: unsupported: unrecognized USAGE BIT,data-layout,2,0363
cobc-rs: unsupported: unrecognized USAGE FLOAT,data-layout,1,0290
cobc-rs: unsupported: unrecognized USAGE SOME-VERY-LONG-TYPEDEF-NAME,data-layout,1,0132
cobc-rs: unsupported: unsupported level number $SET,data-layout,2,0375
cobc-rs: unsupported: unsupported level number HEAD,data-layout,1,0366
cobc-rs: unsupported: unsupported level number SCREEN,data-layout,8,0293
cobc-rs: unsupported: unsupported level number SCREEN-STORAGE,data-layout,1,0364
cobc-rs: unsupported: verb $SET,grammar,1,0394
cobc-rs: unsupported: verb A001-LOOP,grammar,1,0237
cobc-rs: unsupported: verb AFTER,grammar,1,0365
cobc-rs: unsupported: verb COMMENT,grammar,1,0282
cobc-rs: unsupported: verb DEC-1,grammar,1,0288
"cobc-rs: unsupported: verb E1,",grammar,1,0462
cobc-rs: unsupported: verb END-OF-FILE-SWITCH,grammar,2,0231
cobc-rs: unsupported: verb END-OF-PAGE,grammar,1,0306
cobc-rs: unsupported: verb IDENTIFICATION,grammar,3,0077
cobc-rs: unsupported: verb INITIALISATION,grammar,1,0134
cobc-rs: unsupported: verb KEY,grammar,1,0135
cobc-rs: unsupported: verb NOT,grammar,1,0430
cobc-rs: unsupported: verb NOT-DEFINED,grammar,1,0083
cobc-rs: unsupported: verb NOTDEFINED,grammar,1,0346
cobc-rs: unsupported: verb P,grammar,1,0396
cobc-rs: unsupported: verb SEC-1,grammar,1,0311
cobc-rs: unsupported: verb SUB1,grammar,1,0385
cobc-rs: unsupported: verb THREAD,grammar,1,0291
cobc-rs: unsupported: verb USE,grammar,8,0136
cobc-rs: unsupported: verb |,grammar,1,0286
"cobc-rs: warning: cannot read dialect config ""cobol2014.conf""; using -std/default",checker,1,0029
cobc: sub/prog.c: binary file,checker,1,0005
cobrun: undefined data name:,name-resolution,2,0780
cobrun: undefined data name: 4,name-resolution,1,1139
cobrun: undefined data name: ADDRESS,name-resolution,1,0767
"cobrun: undefined data name: CMP1,",name-resolution,1,0835
cobrun: undefined data name: DEFAULT,name-resolution,1,1133
cobrun: undefined data name: ENVIRONMENT,name-resolution,2,0596
