sha,first_parent_index,date,author,is_merge,status,areas,files,insertions,deletions,subject,action
5568b8fc770ff310e5017300d561d8f3deec257c,1,2026-08-04T08:58:13+02:00,David Declerck,0,CI_ONLY_ACCOUNTED,ci,6,214,178,Fix and update CI,accounted (mechanical default)
568531bd417acf493158208426dc2ec346ca3fa1,2,2026-06-09T09:46:19+02:00,Nicolas Berthier,1,UPSTREAM_MERGE_ACCOUNTED,cobc;docs;other;tests,17,700,286,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gitside-gnucobol-3.x,accounted (mechanical default)
a672a26b52b594bd0ebfdcfe0200613c572018d5,,2026-06-08T17:27:30Z,sf-mensch,0,FRONTEND_REIMPLEMENTED,cobc;other;tests,11,566,276,Fix handling of some special contexts  and provide room for more,Implement typed nested parser-context mechanism (ContextSet + stack with enter/leave guards  recovery cleanup  leak assertions); extend beyond 32 flags; match upstream accept/reject for CALL convention  CALL USING  REPOSITORY  EXIT  USAGE  TYPEDEF  SPECIAL-NAMES  VALIDATE STATUS  READY/RESET contexts
47dda86c0013505df0aae22a4f8bcbc420169e38,,2026-05-26T21:42:08Z,lefessan,0,FRONTEND_REIMPLEMENTED,cobc;docs;tests,7,134,10,Config option tab-width can receive a list of comma-separated widths,Implement -ftab-width=w1 w2 ... list semantics: each 1..12  last repeats indefinitely  malformed/empty/overflow lists fail with stable config errors; apply to fixed/free/auto formats  preprocessing  listing  diagnostics; repeated options follow upstream precedence
a3accbe7616ca8ffd61662af1072812ba65cd523,3,2026-05-19T12:04:14+02:00,Nicolas Berthier,1,UPSTREAM_MERGE_ACCOUNTED,libcob,4,11,6,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gitside-gnucobol-3.x,accounted (mechanical default)
871f965fac8300d60c4f0f7d0a22574a4f9b64e9,4,2026-05-05T09:57:17+02:00,Simon Sobisch,0,CI_ONLY_ACCOUNTED,ci,5,108,99,workflow updates,accounted (mechanical default)
326ce553416e3d1ec35ad72f915b9ed15d9cfacd,5,2026-03-23T19:16:17+01:00,Simon Sobisch,0,CI_ONLY_ACCOUNTED,ci,1,2,2,windows-msvc: fix env var reference for dependencies,accounted (mechanical default)
02964e42e1fa1820210edae27116247ea96927e1,,2026-03-02T20:14:00Z,lefessan,0,RUNTIME_PORTED,libcob,4,11,6,Rename is_test to cob_is_test in libcob as it is an extern value,Rename the candidate runtime's exported is_test value to cob_is_test; update all references
253e5cc2602e6e420ff5a770f6f3d5b61aa9f94a,6,2026-01-27T14:49:45+01:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,cobc;config;docs;libcob;tests,12,445,29,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gitside-gnucobol-3.x,accounted (mechanical default)
50b58f682700bdb1513f7b88769e1942fab73ef7,,2025-12-29T11:38:11Z,floschmidt,0,RUNTIME_PORTED,config;docs;libcob;tests,8,293,28,new COB_LOAD_GLOBAL boolean,Implement COB_LOAD_GLOBAL runtime configuration: determine upstream default and platform history; define interpreted-module equivalent distinguishing local vs global registry visibility; test preload  duplicates  CANCEL/reload  process isolation; keep native-DSO non-claim
